CustomerID,Age,Annual Income (k$),Spending Score (1-100),Gender_Female,Gender_Male,Cluster,Cluster_Agglo,Cluster_DBSCAN
1,19,15,39,0,1,0,0,-1
2,21,15,81,0,1,0,0,-1
3,20,16,6,1,0,2,1,-1
4,23,16,77,1,0,2,1,-1
5,31,17,40,1,0,2,1,-1
6,22,17,76,1,0,2,1,-1
7,35,18,6,1,0,2,1,-1
8,23,18,94,1,0,2,1,-1
9,64,19,3,0,1,0,0,-1
10,30,19,72,1,0,2,1,-1
11,67,19,14,0,1,0,0,-1
12,35,19,99,1,0,2,1,-1
13,58,20,15,1,0,2,1,-1
14,24,20,77,1,0,2,1,-1
15,37,20,13,0,1,0,0,-1
16,22,20,79,0,1,0,0,0
17,35,21,35,1,0,2,1,-1
18,20,21,66,0,1,0,0,0
19,52,23,29,0,1,0,0,-1
20,35,23,98,1,0,2,1,-1
21,35,24,35,0,1,0,0,-1
22,25,24,73,0,1,0,0,0
23,46,25,5,1,0,2,1,-1
24,31,25,73,0,1,0,0,0
25,54,28,14,1,0,2,1,-1
26,29,28,82,0,1,0,0,0
27,45,28,32,1,0,2,1,-1
28,35,28,61,0,1,0,0,-1
29,40,29,31,1,0,2,1,-1
30,23,29,87,1,0,2,1,-1
31,60,30,4,0,1,0,0,-1
32,21,30,73,1,0,2,1,-1
33,53,33,4,0,1,0,0,-1
34,18,33,92,0,1,0,0,-1
35,49,33,14,1,0,2,1,-1
36,21,33,81,1,0,2,1,-1
37,42,34,17,1,0,2,1,-1
38,30,34,73,1,0,2,1,-1
39,36,37,26,1,0,2,1,-1
40,20,37,75,1,0,2,1,-1
41,65,38,35,1,0,2,1,-1
42,24,38,92,0,1,0,0,-1
43,48,39,36,0,1,0,0,-1
44,31,39,61,1,0,2,1,1
45,49,39,28,1,0,2,1,-1
46,24,39,65,1,0,2,1,-1
47,50,40,55,1,0,2,1,2
48,27,40,47,1,0,2,1,1
49,29,40,42,1,0,2,1,1
50,31,40,42,1,0,2,1,1
51,49,42,52,1,0,2,1,2
52,33,42,60,0,1,0,0,-1
53,31,43,54,1,0,2,1,1
54,59,43,60,0,1,0,0,-1
55,50,43,45,1,0,2,1,2
56,47,43,41,0,1,0,0,-1
57,51,44,50,1,0,2,1,2
58,69,44,46,0,1,0,0,-1
